caldt,b30ret,b10ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
29SEP2006,0.022313,0.011343,0.007946,0.004989,0.004391,0.004418,0.004047,-0.004904
31OCT2006,0.011512,0.007074,0.003990,0.003894,0.003965,0.003932,0.004076,-0.005421
30NOV2006,0.028752,0.013674,0.008574,0.005344,0.004218,0.004312,0.004243,-0.001487
29DEC2006,-0.035085,-0.015746,-0.007490,-0.000605,0.002285,0.004088,0.004036,0.001489
31JAN2007,-0.010679,-0.003600,-0.000763,0.001951,0.003995,0.004410,0.004328,0.003053
28FEB2007,0.035901,0.019999,0.015508,0.008344,0.005063,0.003807,0.003837,0.005350
30MAR2007,-0.021418,-0.002247,0.003053,0.004382,0.003904,0.004365,0.004257,0.009106
30APR2007,0.008677,0.006799,0.004387,0.003723,0.003403,0.004529,0.004348,0.006496
31MAY2007,-0.025944,-0.014483,-0.011059,-0.001889,0.002538,0.004487,0.004046,0.006111
29JUN2007,-0.013263,-0.006804,0.000799,0.004189,0.004246,0.003801,0.003918,0.001938
31JUL2007,0.039013,0.023884,0.018827,0.010287,0.006321,0.004037,0.003962,-0.000254
31AUG2007,0.014998,0.017130,0.017403,0.010008,0.007002,0.005694,0.004205,-0.001834
28SEP2007,0.002330,-0.000440,0.004294,0.006878,0.005447,0.003905,0.003347,0.002756
31OCT2007,0.018432,0.013082,0.007296,0.004278,0.003567,0.003145,0.003212,0.002139
30NOV2007,0.062646,0.044192,0.037483,0.020658,0.011388,0.004658,0.003395,0.005940
31DEC2007,-0.008740,-0.003627,0.000672,0.001824,0.001147,0.002879,0.002921,-0.000671
31JAN2008,0.025452,0.038355,0.033951,0.020304,0.013061,0.005008,0.002430,0.004971
29FEB2008,-0.007590,0.009265,0.014841,0.009926,0.005399,0.001676,0.001325,0.002904
31MAR2008,0.022067,0.011256,0.004523,0.003037,0.002887,0.002430,0.001869,0.008668
30APR2008,-0.025128,-0.016442,-0.023902,-0.012268,-0.002938,0.001126,0.001025,0.006065
30MAY2008,-0.036625,-0.018756,-0.015239,-0.005992,-0.001104,0.000221,0.000946,0.008421
30JUN2008,0.036209,0.010754,0.007028,0.003551,0.001278,0.001831,0.001750,0.010077
31JUL2008,-0.004120,0.005155,0.007249,0.005230,0.003177,0.001720,0.001440,0.005251
29AUG2008,0.028500,0.015313,0.008864,0.004534,0.002366,0.001413,0.001282,-0.003992
30SEP2008,0.022345,0.000875,0.009199,0.010026,0.005113,0.002546,0.001530,-0.001383
31OCT2008,-0.007043,-0.028592,0.010844,0.012592,0.005218,0.001208,0.000792,-0.010101
28NOV2008,0.174083,0.085378,0.045233,0.012121,0.007170,0.001024,0.000228,-0.019153
31DEC2008,0.146556,0.056872,0.023039,0.006517,0.003890,0.000063,0.000029,-0.010342
30JAN2009,-0.147382,-0.044454,-0.016891,-0.004086,-0.001545,-0.000038,0.000023,0.004352
27FEB2009,-0.016446,-0.001920,-0.005036,-0.000711,-0.001389,0.000280,0.000147,0.004973
31MAR2009,0.035148,0.032915,0.018724,0.005159,0.001434,0.000351,0.000159,0.002432
30APR2009,-0.084485,-0.035787,-0.016750,-0.001117,0.001908,0.000359,0.000125,0.002496
29MAY2009,-0.045685,-0.016442,-0.013248,0.000831,0.000361,0.000118,0.000017,0.002889
30JUN2009,0.004932,0.002851,-0.007311,-0.002294,0.000567,0.000108,0.000075,0.008590
31JUL2009,0.008809,0.008263,0.006035,0.001920,0.001105,0.000196,0.000119,-0.001586
31AUG2009,0.024428,0.010147,0.009517,0.004433,0.001488,0.000241,0.000116,0.002243
30SEP2009,0.024703,0.010324,0.006463,0.002416,0.000799,0.000250,0.000079,0.000625
30OCT2009,-0.024908,-0.003575,0.003621,0.002946,-0.000021,0.000195,0.000040,0.000963
30NOV2009,0.007072,0.018977,0.018421,0.006743,0.001892,0.000104,0.000004,0.000708
31DEC2009,-0.065864,-0.037937,-0.027479,-0.006970,-0.001166,0.000066,0.000062,-0.001761
29JAN2010,0.027461,0.020794,0.018564,0.008927,0.003246,0.000062,0.000028,0.003417
26FEB2010,-0.007626,0.002013,0.004494,0.001837,-0.000473,0.000015,0.000010,0.000249
31MAR2010,-0.020687,-0.014016,-0.007727,-0.001592,-0.000869,0.000042,0.000068,0.004106
30APR2010,0.035549,0.016503,0.009075,0.002381,0.000162,0.000129,0.000111,0.001737
28MAY2010,0.053640,0.025297,0.015079,0.005645,0.000695,0.000129,0.000112,0.000775
30JUN2010,0.059837,0.033857,0.018377,0.004265,0.001116,0.000118,0.000127,-0.000976
30JUL2010,-0.013921,0.007935,0.011016,0.001881,0.000856,0.000176,0.000142,0.000211
31AUG2010,0.087291,0.035527,0.013728,0.001747,0.001025,0.000145,0.000126,0.001381
30SEP2010,-0.027620,-0.001972,0.005236,0.001503,0.000346,0.000044,0.000125,0.000582
29OCT2010,-0.047614,-0.005209,0.006257,0.002339,0.000304,0.000159,0.000112,0.001245
30NOV2010,-0.018947,-0.007214,-0.012155,-0.002914,-0.000524,0.000046,0.000114,0.000421
31DEC2010,-0.033938,-0.038909,-0.022323,-0.001872,-0.000083,0.000220,0.000140,0.001718
31JAN2011,-0.033947,-0.000224,0.006702,0.001807,0.001078,0.000058,0.000066,0.004763
28FEB2011,0.013722,-0.000203,-0.005920,-0.001240,0.000241,0.000142,0.000122,0.004931
31MAR2011,0.002477,-0.000481,-0.002384,-0.001361,0.000077,0.000237,0.000067,0.009751
29APR2011,0.021352,0.014547,0.017115,0.005492,0.000672,0.000208,0.000053,0.006439
31MAY2011,0.034299,0.024937,0.016184,0.003772,0.001021,0.000064,0.000013,0.004704
30JUN2011,-0.020789,-0.005929,0.000608,0.001331,0.000198,0.000103,0.000035,-0.001071
29JUL2011,0.045989,0.031082,0.021177,0.002698,-0.000921,-0.000083,-0.000028,0.000886
31AUG2011,0.100108,0.047503,0.020564,0.003605,0.001945,0.000231,0.000083,0.002758
30SEP2011,0.138029,0.029468,0.002422,-0.001143,-0.001243,0.000008,-0.000001,0.001518
31OCT2011,-0.037082,-0.012101,0.000677,0.001335,0.000650,0.000025,0.000014,-0.002063
30NOV2011,0.021636,0.008685,0.002623,0.000186,0.000291,0.000006,0.000004,-0.000844
30DEC2011,0.034102,0.019019,0.006518,0.000491,-0.000495,-0.000009,0.000000,-0.002467
31JAN2012,-0.005795,0.008827,0.007973,0.000864,0.000450,-0.000048,-0.000002,0.004400
29FEB2012,-0.024496,-0.010592,-0.005721,-0.001303,-0.000635,0.000018,0.000031,0.004403
30MAR2012,-0.044988,-0.019458,-0.007109,-0.000274,-0.000285,0.000088,0.000046,0.007595
30APR2012,0.047272,0.028413,0.012062,0.002289,0.000716,0.000036,0.000029,0.003021
31MAY2012,0.098554,0.031440,0.008390,0.000290,0.000108,0.000175,0.000065,-0.001173
29JUN2012,-0.019824,-0.006625,-0.001385,-0.000607,-0.000491,0.000095,0.000022,-0.001466
31JUL2012,0.044671,0.015792,0.008221,0.002624,0.001154,0.000102,0.000032,-0.001630
31AUG2012,-0.019212,-0.002442,0.001074,-0.000251,-0.000172,0.000123,0.000050,0.005565
28SEP2012,-0.028056,-0.006372,0.000245,0.000019,0.000157,0.000109,0.000067,0.004462
31OCT2012,-0.003986,-0.002909,-0.003651,-0.000574,0.000080,0.000067,0.000037,-0.000389
30NOV2012,0.013069,0.009380,0.007181,0.001030,0.000265,0.000195,0.000085,-0.004738
31DEC2012,-0.025503,-0.008797,-0.003136,0.000428,0.000379,0.000118,0.000103,-0.002693
31JAN2013,-0.040356,-0.014939,-0.005317,0.000317,0.000448,0.000019,0.000022,0.002957
28FEB2013,0.016490,0.011635,0.006808,0.000928,0.000347,0.000017,0.000054,0.008190
28MAR2013,-0.000857,0.003768,0.001281,0.000045,0.000170,0.000143,0.000041,0.002615
30APR2013,0.047396,0.017563,0.005781,0.001233,0.000714,0.000165,0.000037,-0.001040
31MAY2013,-0.069915,-0.031221,-0.014887,-0.001478,-0.000074,0.000093,0.000012,0.001780
28JUN2013,-0.039381,-0.029891,-0.016287,-0.000671,-0.000038,0.000053,0.000013,0.002400
31JUL2013,-0.022609,-0.004527,0.002921,0.001729,0.000688,0.000048,0.000009,0.000394
30AUG2013,-0.014221,-0.012869,-0.009388,-0.001446,-0.000054,0.000072,0.000009,0.001203
30SEP2013,0.005859,0.017924,0.014959,0.002603,0.000888,0.000040,0.000008,0.001163
31OCT2013,0.011250,0.006915,0.005137,0.000952,0.000122,-0.000018,0.000017,-0.002575
29NOV2013,-0.027712,-0.012242,0.000810,0.000946,0.000042,0.000063,0.000032,-0.002042
31DEC2013,-0.024415,-0.021754,-0.015095,-0.001519,0.000129,0.000122,0.000023,-0.000086
31JAN2014,0.071553,0.035655,0.014623,0.001843,0.000323,0.000149,0.000012,0.003720
28FEB2014,0.006347,0.004406,0.001652,0.001181,0.000266,-0.000023,0.000045,0.003698
31MAR2014,0.007647,-0.003935,-0.007456,-0.000862,0.000359,0.000096,0.000028,0.006440
30APR2014,0.020943,0.008403,0.005358,0.001172,0.000680,0.000053,0.000015,0.003297
30MAY2014,0.029472,0.019118,0.009674,0.001989,-0.000006,0.000029,0.000008,0.003493
30JUN2014,-0.003218,-0.002418,-0.001924,-0.000501,0.000004,0.000042,0.000020,0.001862
31JUL2014,0.011048,-0.000160,-0.003838,-0.000246,0.000281,0.000047,0.000013,-0.000390
29AUG2014,0.049426,0.018782,0.008749,0.001195,0.000623,0.000022,0.000003,-0.001671
30SEP2014,-0.019667,-0.010631,-0.004205,-0.000068,0.000191,0.000047,0.000004,0.000753
31OCT2014,0.028148,0.013129,0.009374,0.002620,0.000190,0.000001,0.000012,-0.002512
28NOV2014,0.036108,0.014195,0.010032,0.001547,0.000189,0.000034,-0.000001,-0.005399
31DEC2014,0.030163,0.001414,-0.004644,-0.002899,-0.000691,0.000001,0.000005,-0.005670
30JAN2015,0.114362,0.042437,0.025385,0.005300,0.001475,0.000119,0.000013,-0.004706
27FEB2015,-0.068334,-0.025087,-0.014879,-0.002444,-0.000415,-0.000005,-0.000021,0.004343
31MAR2015,0.013548,0.008166,0.008815,0.002385,0.000509,-0.000023,-0.000008,0.005952
30APR2015,-0.039444,-0.007957,-0.001265,0.000965,0.000592,0.000080,0.000029,0.002033
29MAY2015,-0.030022,-0.003817,-0.000934,0.000521,0.000272,0.000038,-0.000005,0.005097
30JUN2015,-0.044036,-0.018369,-0.005355,0.000394,-0.000054,0.000029,0.000004,0.003503
31JUL2015,0.046044,0.015146,0.007164,0.000750,0.000121,0.000006,-0.000037,0.000067
31AUG2015,-0.010114,-0.001192,0.000371,-0.000930,0.000064,0.000136,0.000027,-0.001416
30SEP2015,0.024379,0.017819,0.012089,0.003996,0.001163,0.000022,-0.000006,-0.001557
30OCT2015,-0.011085,-0.007517,-0.005626,-0.001092,-0.000404,-0.000129,-0.000027,-0.000450
30NOV2015,-0.009328,-0.003500,-0.004427,-0.002638,-0.001749,0.000089,0.000020,-0.002111
31DEC2015,-0.006000,-0.003769,-0.002052,-0.000921,0.000003,0.000249,0.000103,-0.003417
29JAN2016,0.057287,0.029750,0.022615,0.006105,0.002525,-0.000057,0.000037,0.001653
29FEB2016,0.029670,0.016709,0.006527,0.001411,0.000392,0.000341,0.000205,0.000823
31MAR2016,0.002899,-0.001442,0.003650,0.001865,0.001369,0.000474,0.000190,0.004306
29APR2016,-0.011363,-0.004458,-0.003028,-0.000426,0.000666,0.000254,0.000051,0.004741
