PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret,TICKER
10107,14MAY2015,252,2.2992%,1.1095,0.0003,1.2351%,1.4901%,31.2982%,1.1874%,MSFT
10107,15JUL2019,252,0.0000%,1.3753,0.0009,0.8938%,1.6408%,70.3260%,0.0461%,MSFT
10107,19MAR2019,252,0.0680%,1.4321,0.0008,0.8989%,1.7430%,73.4054%,0.1879%,MSFT
10107,28AUG2019,252,-0.1326%,1.3342,0.0010,0.8828%,1.6888%,72.6731%,-1.0487%,MSFT
10107,08JUN2015,252,-0.8886%,1.1111,0.0002,1.2308%,1.4870%,31.4869%,-0.1557%,MSFT
10107,14OCT2019,252,-0.0931%,1.3088,0.0008,0.8635%,1.6601%,72.9469%,0.1328%,MSFT
10107,03OCT2019,252,1.2105%,1.3203,0.0008,0.8795%,1.6978%,73.1661%,0.1474%,MSFT
10107,27NOV2019,252,0.1908%,1.2511,0.0007,0.7875%,1.4621%,70.9933%,-0.3661%,MSFT
10107,30JUN2015,252,-0.4958%,1.1163,0.0001,1.2269%,1.4979%,32.9104%,-0.8759%,MSFT
10107,15JAN2020,252,0.6476%,1.2131,0.0007,0.7329%,1.1913%,62.1482%,0.4460%,MSFT
10107,22DEC2016,252,0.0157%,1.1602,0.0001,1.0219%,1.4317%,49.0533%,0.3617%,MSFT
10107,03MAR2020,252,-4.7919%,1.2805,0.0012,0.7990%,1.4371%,69.0866%,-1.2780%,MSFT
10107,23JUL2015,252,1.2516%,1.1285,-0.0001,1.2280%,1.5076%,33.6538%,1.9336%,MSFT
10107,17APR2020,252,0.8812%,1.1308,0.0017,0.9939%,2.4801%,83.9389%,-2.2111%,MSFT
10107,02OCT2014,252,-0.3050%,0.8387,0.0009,1.0509%,1.2000%,23.3115%,-0.4307%,MSFT
10107,03JUN2020,252,0.2434%,1.1034,0.0012,1.0392%,2.4983%,82.6979%,-1.3263%,MSFT
10107,14AUG2015,252,0.5778%,1.1620,0.0000,1.2263%,1.5206%,34.9613%,0.0783%,MSFT
10107,20JUL2020,252,4.2981%,1.0878,0.0014,1.1145%,2.5700%,81.1946%,3.2023%,MSFT
10107,12JUN2020,252,0.7892%,1.0887,0.0012,1.0752%,2.5276%,81.9043%,-0.6163%,MSFT
10107,02SEP2020,252,1.9272%,1.0943,0.0012,1.2071%,2.5899%,78.2793%,0.5381%,MSFT
10107,08SEP2015,252,3.0040%,1.2181,-0.0001,1.2354%,1.6814%,46.0177%,-0.0636%,MSFT
10107,19OCT2020,252,-2.4766%,1.1182,0.0011,1.2428%,2.6951%,78.7345%,-0.7667%,MSFT
10107,26MAY2017,252,0.4884%,1.0380,0.0006,0.7700%,1.0172%,42.7005%,0.4231%,MSFT
10107,03DEC2020,252,-0.5247%,1.1209,0.0006,1.2955%,2.7599%,77.9644%,-0.7264%,MSFT
10107,13NOV2014,252,1.7015%,0.8977,0.0007,0.9746%,1.1677%,30.3498%,1.7287%,MSFT
10107,06OCT2015,252,0.2573%,1.2066,0.0001,1.2335%,1.6988%,47.2781%,0.7766%,MSFT
10107,23DEC2014,252,0.9796%,0.8934,0.0008,0.9888%,1.1937%,31.3891%,0.7931%,MSFT
10107,16OCT2015,252,1.0636%,1.1920,0.0001,1.2236%,1.6650%,45.9935%,0.6352%,MSFT
10107,25MAR2014,252,-0.3951%,0.8291,0.0009,1.5212%,1.6424%,14.2169%,-0.6443%,MSFT
10107,28OCT2015,252,0.5401%,1.2245,0.0005,1.3512%,1.7736%,41.9557%,-1.2182%,MSFT
10107,23JUN2014,252,0.7438%,0.8797,0.0003,1.4284%,1.5517%,15.2591%,0.7526%,MSFT
10107,09NOV2015,252,-1.3838%,1.2296,0.0004,1.3477%,1.7748%,42.3429%,-0.2169%,MSFT
10107,22SEP2017,252,0.2695%,1.0573,0.0004,0.7437%,0.9229%,35.0715%,0.1384%,MSFT
10107,12OCT2017,252,0.9160%,1.0628,0.0004,0.7528%,0.9186%,32.8418%,1.1041%,MSFT
10107,04DEC2015,252,3.1550%,1.2432,0.0006,1.3223%,1.7875%,45.2802%,0.8443%,MSFT
10107,27OCT2017,252,6.4119%,1.1158,0.0004,0.7769%,0.9533%,33.5768%,5.5437%,MSFT
10107,26NOV2014,252,0.5898%,0.8913,0.0006,0.9809%,1.1689%,29.5865%,0.3229%,MSFT
10107,22DEC2014,252,0.6714%,0.8881,0.0007,0.9903%,1.1931%,31.1155%,0.3417%,MSFT
10107,02AUG2017,252,-0.4409%,1.0189,0.0004,0.7258%,0.9105%,36.4536%,-0.3640%,MSFT
10107,29DEC2014,252,-0.8981%,0.8869,0.0007,0.9918%,1.1933%,30.9296%,-1.0135%,MSFT
10107,23JAN2014,252,0.3479%,0.8947,0.0004,1.4526%,1.5858%,16.0938%,1.1244%,MSFT
10107,05JAN2015,252,-0.9303%,0.8834,0.0007,0.9933%,1.1982%,31.2657%,0.7108%,MSFT
10107,20JAN2016,252,0.4549%,1.2388,0.0010,1.3213%,1.8080%,46.5904%,1.6247%,MSFT
10107,04APR2014,252,-2.7798%,0.8738,0.0008,1.5307%,1.6660%,15.5856%,-1.5246%,MSFT
10107,01FEB2016,252,-0.6898%,1.2004,0.0015,1.2227%,1.7251%,49.7663%,-0.6423%,MSFT
10107,22MAY2017,252,1.1228%,1.0605,0.0005,0.7778%,1.0373%,43.7700%,0.5280%,MSFT
10107,11FEB2016,252,-0.0402%,1.2145,0.0014,1.2332%,1.7514%,50.4187%,1.3857%,MSFT
10107,08APR2014,252,0.0503%,0.8640,0.0007,1.5168%,1.6518%,15.6730%,-0.3850%,MSFT
10107,24FEB2016,252,0.3517%,1.2089,0.0013,1.2363%,1.7706%,51.2449%,-0.2900%,MSFT
10107,15JUL2020,252,-0.1488%,1.0844,0.0014,1.0915%,2.5534%,81.7269%,-1.3871%,MSFT
10107,07MAR2016,252,-1.9220%,1.2040,0.0011,1.2541%,1.7885%,50.8313%,-2.1765%,MSFT
10107,10APR2014,252,-2.7428%,0.8818,0.0008,1.4857%,1.6336%,17.2852%,-0.8186%,MSFT
10107,17MAR2016,252,0.5704%,1.2164,0.0014,1.2436%,1.7878%,51.6139%,-0.3086%,MSFT
10107,27APR2020,252,-0.2865%,1.1314,0.0014,0.9881%,2.5004%,84.3826%,-2.2505%,MSFT
10107,30MAR2016,252,0.6215%,1.2106,0.0014,1.2513%,1.7841%,50.8128%,0.1271%,MSFT
10107,16MAR2020,252,-14.7390%,1.2078,0.0016,0.8659%,2.1545%,83.8452%,-0.3594%,MSFT
10107,11APR2016,252,-0.2021%,1.2084,0.0014,1.2389%,1.7781%,51.4536%,0.1361%,MSFT
10107,06JAN2017,252,0.8668%,1.1484,0.0000,1.0247%,1.4057%,46.8601%,0.5292%,MSFT
10107,07AUG2018,252,0.6936%,1.4175,0.0008,0.8499%,1.4108%,63.7092%,0.2757%,MSFT
10107,24AUG2018,252,0.7810%,1.4180,0.0006,0.8580%,1.4037%,62.6425%,-0.1055%,MSFT
10107,19JUL2018,252,-0.6849%,1.4035,0.0006,0.8288%,1.3822%,64.0426%,-0.2161%,MSFT
10107,26OCT2018,252,-1.2373%,1.4722,0.0011,0.9132%,1.5940%,67.1768%,1.1987%,MSFT
10107,29JUN2018,252,-0.0203%,1.4062,0.0008,0.8294%,1.3793%,63.8436%,-0.1250%,MSFT
10107,10OCT2018,252,-5.4338%,1.4569,0.0008,0.8688%,1.4716%,65.1478%,-0.6409%,MSFT
10107,12JUN2018,252,0.2573%,1.4149,0.0007,0.8308%,1.3837%,63.9498%,-0.0744%,MSFT
10107,22JUN2015,252,0.2820%,1.1274,0.0001,1.2291%,1.4966%,32.5494%,-0.4295%,MSFT
10107,07JUN2016,252,-0.0576%,1.1906,0.0006,1.1519%,1.7074%,54.4880%,-0.2015%,MSFT
10107,03FEB2015,252,0.7752%,1.0772,-0.0000,1.0465%,1.3323%,38.2984%,-0.8643%,MSFT
