PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret
10107,14APR2014,252,-0.0740%,0.0008,0.9241,-0.1103,-0.2940,1.4792%,1.6332%,17.9742%,-0.7289%
10107,15APR2014,252,1.4548%,0.0009,0.9337,-0.1212,-0.2918,1.4799%,1.6345%,18.0216%,0.9287%
10107,16APR2014,252,1.6352%,0.0009,0.9435,-0.1223,-0.2857,1.4796%,1.6366%,18.2683%,0.4770%
10107,17APR2014,252,-0.9654%,0.0008,0.9481,-0.1377,-0.2977,1.4811%,1.6380%,18.2481%,-1.0779%
10107,21APR2014,252,-0.1750%,0.0007,0.9301,-0.1309,-0.2933,1.4737%,1.6254%,17.7978%,-0.6140%
10107,22APR2014,252,0.1252%,0.0005,0.9169,-0.1112,-0.2668,1.4614%,1.6108%,17.6908%,-0.4184%
10107,23APR2014,252,-0.7502%,0.0006,0.9259,-0.0887,-0.2354,1.4580%,1.6108%,18.0756%,-0.2981%
10107,24APR2014,252,0.4283%,0.0005,0.9400,-0.1790,-0.4238,1.4348%,1.5942%,18.9974%,0.2788%
10107,25APR2014,252,0.1254%,0.0005,0.9347,-0.1946,-0.4121,1.4365%,1.5939%,18.7777%,1.1737%
10107,28APR2014,252,2.4054%,0.0006,0.9431,-0.2451,-0.4745,1.4408%,1.6000%,18.9072%,1.9368%
10107,29APR2014,252,-0.8808%,0.0005,0.9259,-0.2241,-0.4535,1.4394%,1.5937%,18.4267%,-1.5246%
10107,30APR2014,252,-0.2715%,0.0004,0.9254,-0.2364,-0.4570,1.4376%,1.5914%,18.3919%,-0.5554%
10107,01MAY2014,252,-0.9901%,0.0004,0.9234,-0.2491,-0.4600,1.4391%,1.5910%,18.1826%,-1.1404%
10107,02MAY2014,252,-0.7750%,0.0004,0.9221,-0.2608,-0.4735,1.4390%,1.5900%,18.0896%,-0.4653%
10107,05MAY2014,252,-0.6551%,0.0003,0.9184,-0.2468,-0.4484,1.4407%,1.5897%,17.8603%,-1.1058%
10107,06MAY2014,252,-0.9384%,0.0003,0.9196,-0.2608,-0.4811,1.4394%,1.5904%,18.0866%,-0.0698%
10107,07MAY2014,252,0.9345%,0.0003,0.9306,-0.2679,-0.4489,1.4360%,1.5888%,18.3158%,0.8309%
10107,08MAY2014,252,0.5453%,0.0004,0.9380,-0.2913,-0.4449,1.4338%,1.5877%,18.4457%,0.6918%
10107,09MAY2014,252,-0.2523%,0.0004,0.9360,-0.2972,-0.4497,1.4332%,1.5863%,18.3817%,-0.4430%
10107,12MAY2014,252,1.0875%,0.0005,0.9372,-0.2884,-0.4494,1.4330%,1.5876%,18.5257%,0.2634%
10107,13MAY2014,252,1.8264%,0.0005,0.9439,-0.3229,-0.4543,1.4353%,1.5902%,18.5309%,1.6590%
10107,14MAY2014,252,-0.4453%,0.0004,0.9337,-0.3106,-0.4539,1.4333%,1.5850%,18.2293%,-0.4400%
10107,15MAY2014,252,-1.5905%,0.0004,0.9394,-0.3170,-0.4510,1.4339%,1.5876%,18.4332%,-0.7716%
10107,16MAY2014,252,0.5808%,0.0003,0.9452,-0.3210,-0.4449,1.4323%,1.5875%,18.5968%,0.1388%
10107,19MAY2014,252,-0.2009%,0.0003,0.9333,-0.3244,-0.4632,1.4297%,1.5813%,18.2576%,-0.4465%
10107,20MAY2014,252,-0.1761%,0.0002,0.9354,-0.3439,-0.4842,1.4285%,1.5810%,18.3630%,0.3924%
10107,21MAY2014,252,1.6885%,0.0003,0.9432,-0.3558,-0.4884,1.4284%,1.5836%,18.6446%,0.8781%
