PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret
10107,08MAY2014,252,0.5453%,0.0003,1.2294,-0.0736,-0.5830,-0.7381,1.4107%,1.5877%,21.0517%,0.5763%
10107,09MAY2014,252,-0.2523%,0.0003,1.2216,-0.0895,-0.5818,-0.7210,1.4109%,1.5863%,20.8927%,-0.8361%
10107,12MAY2014,252,1.0875%,0.0003,1.2244,-0.0793,-0.5825,-0.7246,1.4106%,1.5876%,21.0548%,0.2229%
10107,13MAY2014,252,1.8264%,0.0003,1.2342,-0.1143,-0.5881,-0.7309,1.4127%,1.5902%,21.0814%,1.8091%
10107,14MAY2014,252,-0.4453%,0.0002,1.2249,-0.1023,-0.5896,-0.7337,1.4104%,1.5850%,20.8166%,-0.4216%
10107,15MAY2014,252,-1.5905%,0.0002,1.2328,-0.1059,-0.5892,-0.7415,1.4106%,1.5876%,21.0545%,-0.8312%
10107,16MAY2014,252,0.5808%,0.0001,1.2291,-0.1128,-0.5792,-0.7252,1.4102%,1.5875%,21.0848%,-0.2153%
10107,19MAY2014,252,-0.2009%,0.0001,1.2145,-0.1171,-0.5900,-0.7120,1.4084%,1.5813%,20.6724%,-0.1985%
10107,20MAY2014,252,-0.1761%,0.0001,1.2012,-0.1419,-0.5920,-0.6820,1.4093%,1.5810%,20.5462%,0.8750%
10107,21MAY2014,252,1.6885%,0.0002,1.2078,-0.1569,-0.5954,-0.6762,1.4094%,1.5836%,20.7865%,1.0018%
10107,22MAY2014,252,-0.6196%,0.0001,1.2075,-0.1667,-0.5880,-0.6708,1.4110%,1.5835%,20.5963%,-1.0765%
10107,23MAY2014,252,0.0499%,0.0002,1.2022,-0.1584,-0.5856,-0.6696,1.4097%,1.5810%,20.4967%,-0.2986%
10107,27MAY2014,252,0.1745%,0.0001,1.2041,-0.1644,-0.5891,-0.6729,1.4093%,1.5809%,20.5267%,-0.3046%
10107,28MAY2014,252,-0.4479%,0.0001,1.2000,-0.1892,-0.6171,-0.6742,1.4048%,1.5756%,20.5127%,-0.1073%
10107,29MAY2014,252,0.8248%,0.0001,1.2020,-0.1925,-0.6244,-0.6720,1.4047%,1.5760%,20.5618%,0.2550%
10107,30MAY2014,252,1.4874%,0.0001,1.2017,-0.2178,-0.6268,-0.6614,1.4074%,1.5784%,20.4879%,1.4371%
10107,02JUN2014,252,-0.3664%,0.0000,1.2179,-0.2296,-0.6260,-0.6684,1.4061%,1.5784%,20.6373%,-0.2117%
10107,03JUN2014,252,-1.2258%,-0.0000,1.2093,-0.2330,-0.6330,-0.6551,1.4053%,1.5760%,20.4850%,-0.9747%
10107,04JUN2014,252,0.0745%,0.0000,1.2067,-0.2400,-0.6470,-0.6623,1.4022%,1.5720%,20.4365%,-0.0384%
10107,05JUN2014,252,2.2073%,0.0000,1.2276,-0.1986,-0.6369,-0.6982,1.4044%,1.5771%,20.7071%,1.4009%
10107,06JUN2014,252,0.6552%,0.0000,1.2268,-0.1994,-0.6391,-0.6995,1.4044%,1.5773%,20.7281%,-0.0857%
10107,09JUN2014,252,-0.5063%,-0.0000,1.2120,-0.2128,-0.6323,-0.6771,1.4051%,1.5730%,20.2101%,-1.0570%
