PERMNO,DATE,n,RET,vwretd,swbeta,swalpha,ivol,tvol,R2
93436,12JUL2016,252,-0.06%,0.80%,1.52,-0.00,2.27%,2.86%,37.04%
93436,13JUL2016,252,-0.94%,-0.02%,1.51,-0.00,2.27%,2.86%,36.72%
93436,14JUL2016,252,-0.45%,0.47%,1.51,-0.00,2.27%,2.86%,36.78%
93436,15JUL2016,252,-0.51%,-0.08%,1.51,-0.00,2.27%,2.86%,36.74%
93436,18JUL2016,252,2.65%,0.26%,1.50,-0.00,2.27%,2.85%,36.52%
93436,19JUL2016,252,-0.44%,-0.24%,1.51,-0.00,2.26%,2.85%,36.91%
93436,20JUL2016,252,1.38%,0.46%,1.50,-0.00,2.25%,2.83%,36.80%
93436,21JUL2016,252,-3.44%,-0.33%,1.50,-0.00,2.26%,2.84%,36.46%
93436,22JUL2016,252,0.80%,0.45%,1.50,-0.00,2.26%,2.84%,36.50%
93436,25JUL2016,252,3.48%,-0.32%,1.51,-0.00,2.27%,2.85%,36.50%
93436,26JUL2016,252,-0.22%,0.16%,1.50,-0.00,2.25%,2.83%,36.58%
93436,27JUL2016,252,-0.44%,-0.13%,1.49,-0.00,2.25%,2.82%,36.27%
93436,28JUL2016,252,0.93%,0.17%,1.50,-0.00,2.24%,2.82%,36.55%
93436,29JUL2016,252,1.81%,0.26%,1.50,-0.00,2.25%,2.82%,36.43%
93436,01AUG2016,252,-2.04%,-0.23%,1.50,-0.00,2.25%,2.82%,36.54%
93436,02AUG2016,252,-1.22%,-0.71%,1.50,-0.00,2.25%,2.82%,36.47%
93436,03AUG2016,252,-0.62%,0.44%,1.50,-0.00,2.24%,2.81%,36.73%
93436,04AUG2016,252,2.13%,0.08%,1.52,-0.00,2.23%,2.82%,37.26%
93436,05AUG2016,252,-0.25%,0.81%,1.49,-0.00,2.18%,2.75%,37.60%
93436,08AUG2016,252,-1.68%,0.01%,1.49,-0.00,2.18%,2.75%,37.39%
93436,09AUG2016,252,1.29%,0.11%,1.48,-0.00,2.18%,2.76%,37.33%
93436,10AUG2016,252,-1.50%,-0.26%,1.48,-0.00,2.18%,2.76%,37.32%
93436,11AUG2016,252,-0.33%,0.48%,1.48,-0.00,2.18%,2.76%,37.38%
93436,12AUG2016,252,0.31%,-0.05%,1.48,-0.00,2.18%,2.75%,37.44%
93436,15AUG2016,252,-0.01%,0.40%,1.49,-0.00,2.18%,2.75%,37.43%
93436,16AUG2016,252,-0.88%,-0.55%,1.48,-0.00,2.16%,2.74%,37.51%
